0.3	321.89	198.65	163.43	114.67	88.58	41.30	78.10	84.93	91.02	96.05	106.20	100.62	99.41	87.84
0.4	311.72	173.21	134.77	97.48	80.79	33.50	76.02	83.21	85.78	87.67	95.77	91.69	91.05	81.86
0.6	207.32	116.48	95.26	76.76	68.43	59.32	72.37	80.41	78.64	79.93	82.01	81.82	81.35	75.90
0.8	119.11	80.31	71.02	61.18	64.00	70.99	68.79	77.63	76.89	78.15	81.59	78.40	77.50	73.54
0.9	85.92	65.35	59.38	52.94	65.34	71.37	70.25	76.15	77.22	78.19	80.69	77.74	75.95	72.92
0.95	69.8	57.25	53.88	50.57	66.02	71.19	71.49	75.41	77.50	78.31	80.18	77.52	75.26	72.69
0.975	61.00	54.88	53.69	51.96	66.38	71.06	72.06	75.13	77.66	78.39	79.92	77.43	74.93	72.58
1	60.68	58	56.31	53.89	66.75	70.92	72.59	75.03	77.83	78.48	79.67	77.35	74.62	72.48
1.025	69.43	62.21	59.45	56.02	67.15	70.80	73.08	75.13	78.00	78.57	79.41	77.28	74.32	72.39
1.05	76.62	66.10	62.45	58.10	67.56	70.68	73.54	75.38	78.17	78.67	79.15	77.20	74.03	72.30
1.1	88.19	72.55	67.58	61.81	68.44	70.53	74.37	76.01	78.50	78.88	78.63	77.07	73.48	72.13
1.2	109.22	82.39	75.42	67.66	70.37	70.64	75.77	77.14	79.13	79.30	77.65	76.80	72.49	71.82
1.5	177.17	105.52	91.45	78.87	76.49	74.24	78.64	79.50	80.40	80.19	75.23	75.80	70.28	70.82
2	258.43	143.34	114.40	90.66	84.71	82.18	81.41	81.77	81.10	80.04	72.98	73.74	68.13	68.76
3	354.13	198.50	154.38	110.39	95.16	88.20	84.70	84.30	81.40	78.62	72.42	71.16	66.52	67.22
